#
 0,    exploit/True/1,35,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 0,  exploit/True/0.9,35,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 0,  exploit/True/0.9,40,  0.01,  0.00, -*                  |                   ,  0.01,  0.02
 0,    exploit/True/1,40,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 0,    exploit/True/1,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 0,  exploit/True/0.9,30,  0.01,  0.00, -*                  |                   ,  0.00,  0.02
 0,    exploit/True/1,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 0,  exploit/True/0.6,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 0,  exploit/True/0.9,15,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 0,  exploit/True/0.7,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 0,  exploit/True/0.7,40,  0.01,  0.00, -*                  |                   ,  0.01,  0.02
#
 1,  exploit/True/0.8,35,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 1,  exploit/True/0.8,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 1,  exploit/True/0.8,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 1,  exploit/True/0.8,40,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 1,  exploit/True/0.7,35,  0.01,  0.00, -*                  |                   ,  0.01,  0.02
 1,    exploit/True/1,15,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 1,  exploit/True/0.9,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 1,  exploit/True/0.8,15,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 1,  exploit/True/0.6,25,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 1,            random,30,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 1,            random,35,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 1,  exploit/True/0.6,35,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 1,  exploit/True/0.7,25,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 1,            random,25,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 1,            random,40,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
#
 2,  exploit/True/0.8,25,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 2,    exploit/True/1,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 2,  exploit/True/0.9,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 2,            random,15,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 2,  exploit/True/0.6,40,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 2,  exploit/True/0.6,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
#
 3,  exploit/True/0.7,15,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 3,  exploit/True/0.6,15,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 3,            random,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 3,  exploit/True/0.7,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
#
 4,        baseline,2866,  0.06,  0.14,  ---  *            -|---------          ,  0.01,  0.37
