#
 0,    exploit/True/1,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.9,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.9,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.8,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,    exploit/True/1,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.9,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.8,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.7,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,    exploit/True/1,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.7,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,    exploit/True/1,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.9,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.8,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.7,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.6,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.8,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.7,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.6,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.7,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.9,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.6,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.8,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,35,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.6,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.8,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.9,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,    exploit/True/1,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.7,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.6,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,  exploit/True/0.6,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,    exploit/True/1,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,        baseline,3840,  0.00,  0.00, *                   |                   ,  0.00,  0.06
